HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5022685,NF,A1L,E,2022-08-01,2022,Single Detached,199.2,One storey,2000,B1;P1,1.0,2.2851,5430.0,5.43,13718.5,3810.7,71113.7,19754.0,3810.9,0.0,0.0,3589.2,0.0,201851577,Air,,14126.9,T,6.33,3.54,2.17,,,90.0,,,ESTAR,Mini-split ductless,3.15,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,1.295,
8849746,NF,A1W,E,2022-08-01,2022,Single Detached,299.8,Two storeys,2000,B1;P1,1.0,2.7528,10727.7,10.728,27119.6,7533.3,81764.4,22712.5,7533.4,0.0,48.3,1794.5,0.0,202110497,Air,,24194.2,T,5.38,4.37,1.81,,,70.0,,,ESTAR,Mini-split ductless,2.64,Heater w/ flame ret. head,Oil,Fireplace with pilot (sealed),Propane,Yes,ACD,MPD24KCH21S-O,,26000,16600,18400,1.81,9,21,No,7.62,5.393,0.71,0.503
11002746,NF,A1W,E,2022-08-01,2022,Single Detached,250.8,Two storeys,2001,B1;P1,1.0,2.1101,8260.6,8.261,23767.8,6602.2,81419.0,22616.6,6602.3,0.0,0.0,3589.2,0.0,205663354,Air,,24769.2,T,5.55,3.45,2.12,,,100.0,,,ESTAR,Mini-split ductless,3.23,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,2MXL18QMVJU*,,18000,11400,,,10.3,17,No,5.275,,0.639,
5022693,NF,A1B,E,2022-08-01,2022,Single Detached,175.4,One storey,2014,B1;P1,1.0,2.2692,5881.2,5.881,17111.9,4753.3,61052.6,16959.2,4753.4,0.0,0.0,0.0,0.0,8033586,Air,,14545.4,T,7.47,3.07,2.09,,,102.0,,,ESTAR,Mini-split ductless,3.6,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,FUJITSU,AOU24RLXFZH,,24000,15400,25600,2.06,10,20,Yes,7.034,7.503,1.196,1.276
20903746,NF,A1N,E,2022-08-01,2022,Single Detached,219.2,One storey,1967,B1;P1,1.0,5.7877,10800.2,10.8,31994.1,8887.3,86754.9,24098.8,8887.3,0.0,295.8,1794.5,0.0,201851577,Air,,14126.9,T,6.33,3.54,2.17,,,90.0,,,ESTAR,Mini-split ductless,3.15,Heater w/ flame ret. head,Oil,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.651,
7910746,NF,A1W,E,2022-09-01,2022,"Row house, end unit",168.0,Two storeys,2008,B1;P1,1.0,4.1628,10730.8,10.731,32943.3,9151.0,85498.4,23749.7,9150.9,0.0,0.0,1794.5,0.0,8849458,Air,,7000.0,T,4.2,3.58,2.26,,,105.0,,,ESTAR,Mini-split ductless,2.7,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,RXL12QMVJU,FTX12NMVJU,13600,8800,,,12,20,No,3.986,,0.371,
15235746,NF,A1L,E,2022-09-01,2022,Single Detached,199.1,Two storeys,2017,B1;P1,1.0,1.474,5534.4,5.534,15663.5,4351.0,58219.9,16172.3,4351.1,0.0,0.0,0.0,0.0,8033586,Air,,14545.4,T,7.47,3.07,2.09,,,102.0,,,ESTAR,Mini-split ductless,3.6,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,FUJITSU,AOU24RLXFZH,,24000,15400,25600,2.06,10,20,Yes,7.034,7.503,1.271,1.356
14851746,NF,A1M,E,2022-08-01,2022,Single Detached,102.4,One storey,1926,,1.0,11.219,5873.2,5.873,13289.6,3691.6,55726.1,15479.6,3691.7,0.0,0.0,0.0,0.0,10445374,Air,,6500.0,T,7.62,3.28,2.1,,,100.0,,,,Mini-split ductless,3.53,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,Yes,LG,LMU240HHV,,26000,17400,22000,1.83,9.8,21,Yes,7.62,6.448,1.297,1.098
16840746,NF,A1N,E,2022-08-01,2022,Single Detached,170.5,One storey,2014,B1;P1,1.0,2.2203,5702.9,5.703,16146.2,4485.1,60315.2,16754.4,4485.0,0.0,0.0,0.0,0.0,10445374,Air,,7670.0,T,7.62,3.28,2.1,,,100.0,,,,Mini-split ductless,3.53,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Other (describe),Electricity,Yes,LG,LMU240HHV,,26000,17400,22000,1.83,9.8,21,Yes,7.62,6.448,1.336,1.131
16841746,NF,A1W,E,2022-08-01,2022,Single Detached,206.1,One and a half,1960,B1;C1;F1;P1,1.0,5.3714,11352.1,11.352,38422.6,10673.0,81741.4,22706.1,10673.1,0.0,0.0,46.9,0.0,202521824,Air,,22639.7,T,10.73,3.1,2.0,,,100.0,,,,Mini-split ductless,2.578,Induced draft fan furnace,Propane,,,Yes,DAIKIN,4MXL36TVJU,,34400,22400,,,11.2,21.7,No,10.082,,0.888,
