HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5417433,SK,S0K,E,2024-10-01,2024,Single Detached,180.5,One storey,1969,B1,1,3.1665,11286.2,11.286,26502.3,7361.8,84321.6,23422.9,7361.7,0.0,0.0,3315.0,0.0,212404700,Air,,14025.2,T,7.33,3.34,1.82,,,86.0,,,,Central split system,2.93,Condensing furnace,Propane,Wood fireplace,Wood Pellets,Yes,CONTINENTAL,WSEHV2436RA1-C,"H,DE33(6,9)36",24000,15000,17500,1.80,8.5,17,No,7.034,5.129,0.623,0.454
5418980,SK,S7H,E,2024-07-01,2024,Single Detached,195.4,One storey,1997,B1,1,2.3956,12157.0,12.157,22196.2,6165.7,96747.2,26874.4,6165.6,5516.2,0.0,0.0,0.0,212361758,Air,,9868.3,T,5.57,3.69,2.2,,,78.0,,,,Central split system,3.07,Condensing furnace,Natural Gas,,,Yes,MOOVAIR,DMA18HOS20230E7,CUB24HAC20BWT7A,19000,14700,15000,2.20,9.5,16.1,Yes,5.568,4.396,0.458,0.362
5423478,SK,S4V,N,2024-05-01,2024,Single Detached,255.4,Two storeys,2023,B1,1,0.994,7161.7,7.162,13435.4,3732.1,63226.2,17563.0,3732.0,2331.4,0.0,0.0,0.0,211641828,Air,,10550.6,F,0.0,3.374,0.0,,,0.0,,,,Central split system,3.475,Condensing furnace,Natural Gas,,,Yes,GOODMAN,GSZC703610A*,CHPTA3630*4A*,33800,21000,17000,1.90,8.1,17.2,No,9.906,4.982,1.383,0.696
5423623,SK,S7L,E,2024-08-01,2024,Single Detached,86.5,One storey,1945,B1;C1;F1,1,10.0096,11957.8,11.958,32833.7,9120.5,108110.4,30030.9,9120.6,5147.8,0.0,0.0,0.0,212361758,Air,,9901.7,T,5.57,2.171,2.2,,,78.0,,,,Central split system,1.781,Condensing furnace,Natural Gas,,,Yes,MOOVAIR,DMA18HOS20230E7,CUB24HAC20BWT7A,19000,14700,15000,2.20,9.5,16.1,Yes,5.568,4.396,0.466,0.368
4884746,SK,S7H,E,2024-08-01,2024,Single Detached,208.7,One storey,1953,B1,1,3.8048,9933.6,9.934,11261.6,3128.2,80999.9,22500.2,3128.4,7366.2,0.0,0.0,0.0,210046809,Air,,8206.0,F,0.0,4.104,0.0,,,0.0,,,ESTAR,Central split system,3.176,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,LENNOX,ML17XP1-030-230A**,C35-30B+TDR+TXV,28000,18600,14800,2.18,8,15.2,No,8.206,4.337,0.826,0.437
1921822,SK,S7J,D,2024-10-01,2024,Single Detached,180.8,One storey,1959,B1;B2;B3,1,2.8043,10197.2,10.197,24277.5,6743.8,87537.3,24316.1,6743.7,3262.8,0.0,0.0,0.0,212361759,Air,,13141.9,T,7.33,3.35,1.95,,,80.0,,,,Central split system,3.2,Condensing furnace,Natural Gas,,,Yes,MOOVAIR,DMA24HOS20230E7,CUB24HAC20BWT7A,25000,21000,20000,1.95,9.5,16.5,Yes,7.327,5.861,0.719,0.575
5423478,SK,S4V,D,2024-10-01,2024,Single Detached,255.7,Two storeys,2023,B1,1,0.9974,7509.4,7.509,12269.6,3408.2,67057.0,18627.1,3408.4,4011.1,0.0,0.0,0.0,211641828,Air,,7000.0,F,0.0,2.998,0.0,,,0.0,,,,Central split system,3.406,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,GOODMAN,GSZC703610A*,CHPTA3630*4A*,33800,21000,17000,1.90,8.1,17.2,No,9.906,4.982,1.319,0.663
5479274,SK,S7W,N,2024-09-01,2024,"Row house, end unit",204.6,Two storeys,2024,B1,1,1.0834,7244.3,7.244,12752.7,3542.4,69719.8,19366.8,3542.5,2240.9,0.0,0.0,0.0,211244180,Air,Central split system,8032.5,T,7.97,3.56,1.86,0.0,0.0,83.0,0.0,0.0,,Central split system,3.21,Condensing furnace,Natural Gas,Other (describe),Electricity,Yes,PAYNE HEATING AND COOLING,38MURAQ24AB3*,CNPV*2417AL*,,19700,22800,1.86,8.5,15.5,No,,6.682,,0.922
5479274,SK,S7W,P,2021-11-01,2021,"Row house, end unit",204.6,Two storeys,2024,B1,1,1.5,7878.9,7.879,13536.4,3760.1,71866.8,19963.2,3760.0,2640.6,0.0,0.0,0.0,211244180,Air,Central split system,8032.5,T,7.97,3.56,1.86,0.0,0.0,83.0,0.0,0.0,,Central split system,3.21,Condensing furnace,Natural Gas,Other (describe),Electricity,Yes,PAYNE HEATING AND COOLING,38MURAQ24AB3*,CNPV*2417AL*,,19700,22800,1.86,8.5,15.5,No,,6.682,,0.848
5479607,SK,S7W,N,2024-09-01,2024,"Row house, middle unit",206.7,Two storeys,2024,B1,1,1.1841,5791.0,5.791,8874.1,2465.0,63114.1,17531.8,2465.0,1497.2,0.0,0.0,0.0,211244180,Air,Central split system,8032.5,T,7.97,3.56,1.86,0.0,0.0,83.0,0.0,0.0,,Central split system,3.21,Condensing furnace,Natural Gas,Other (describe),Electricity,Yes,PAYNE HEATING AND COOLING,38MURAQ24AB3*,CNPV*2417AL*,,19700,22800,1.86,8.5,15.5,No,,6.682,,1.154
