"BORE_HOLE_ID","WELL_ID","DP2BR","CODEOB","OPEN_HOLE","DATE_COMPLETED","Remarks","ZONE","EAST83","NORTH83","UTMRC","LOCATION_METHOD","ORGCS","ELEVATION","ELEVRC","LOCATION_SOURCE_DATE","SOURCE_REVISION_COMMENT","IMPROVEMENT_LOCATION_SOURCE","IMPROVEMENT_LOCATION_METHOD","SUPPLIER_COMMENT","SPATIAL_STATUS","CLUSTER_KIND"
10052336,"1530802",,,,9/9/1999 0:00:00,"",18,416750.5,5012688,"9","lot",,,"",,,,,,,
10052337,"1530803",,,,9/8/1999 0:00:00,"",18,417847.5,5017644,"9","lot",,,"",,,,,,,
10052338,"1530804",,,,10/7/1999 0:00:00,"",18,421816.6,5013018,"9","lot",,,"",,,,,,,
10052339,"1530805",,,,10/8/1999 0:00:00,"",18,417442.5,5018104,"9","lot",,,"",,,,,,,
10052340,"1530806",,,,9/7/1999 0:00:00,"",18,418059.5,5019488,"9","lot",,,"",,,,,,,
10052341,"1530807",,,,8/12/1999 0:00:00,"",18,422532.6,5022602,"9","lot",,,"",,,,,,,
10052342,"1530808",,,,8/17/1999 0:00:00,"",18,422608.6,5032790,"9","lot",,,"",,,,,,,
10052343,"1530809",,,,8/26/1999 0:00:00,"",18,420486.6,5031030,"9","lot",,,"",,,,,,,
10052344,"1530810",,,,9/7/1999 0:00:00,"",18,415461.6,5036537,"9","lot",,,"",,,,,,,
10052345,"1530811",,,,9/3/1999 0:00:00,"",18,419402.6,5030116,"9","lot",,,"",,,,,,,
10052346,"1530812",,,,6/20/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052347,"1530813",,,,6/26/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052348,"1530814",,,,6/26/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052349,"1530815",,,,8/6/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052350,"1530816",,,,10/2/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052351,"1530817",,,,9/2/1999 0:00:00,"",18,470276.9,5030032,"9","lot",,,"",,,,,,,
10052352,"1530818",,,,9/15/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052353,"1530819",,,,9/17/1999 0:00:00,"",18,473176.8,5029859,"9","lot",,,"",,,,,,,
10052354,"1530820",,,,9/23/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052355,"1530821",,,,9/21/1999 0:00:00,"",18,469014.8,5039772,"9","lot",,,"",,,,,,,
10052356,"1530822",,,,10/5/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052357,"1530823",,,,10/13/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052358,"1530824",,,,10/1/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052359,"1530825",,,,8/25/1999 0:00:00,"",18,445751.2,5018245,"9","lot",,,"",,,,,,,
10052360,"1530826",,,,9/21/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052361,"1530827",,,,9/27/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052362,"1530828",,,,9/23/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052363,"1530829",,,,9/27/1999 0:00:00,"",18,443445.8,4996545,"9","lot",,,"",,,,,,,
10052364,"1530830",,,,8/16/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052365,"1530831",,,,8/12/1999 0:00:00,"",18,437400.7,5003588,"9","lot",,,"",,,,,,,
10052366,"1530832",,,,9/14/1999 0:00:00,"",18,417847.5,5017644,"9","lot",,,"",,,,,,,
10052367,"1530833",,,,8/12/1999 0:00:00,"",18,438226.7,4994734,"9","lot",,,"",,,,,,,
10052368,"1530834",,,,9/2/1999 0:00:00,"",18,452680.8,5010476,"9","lot",,,"",,,,,,,
10052369,"1530835",,,,8/12/1999 0:00:00,"",18,461512.8,5015722,"9","lot",,,"",,,,,,,
10052370,"1530836",,,,8/13/1999 0:00:00,"",18,453998.8,5012705,"9","lot",,,"",,,,,,,
10052371,"1530837",,,,9/14/1999 0:00:00,"",18,452680.8,5010476,"9","lot",,,"",,,,,,,
10052372,"1530838",,,,9/13/1999 0:00:00,"",18,453998.8,5012705,"9","lot",,,"",,,,,,,
10052373,"1530839",,,,9/13/1999 0:00:00,"",18,452680.8,5010476,"9","lot",,,"",,,,,,,
10052374,"1530840",,,,9/7/1999 0:00:00,"",18,456020.8,5012988,"9","lot",,,"",,,,,,,
10052375,"1530841",,,,9/21/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052376,"1530842",,,,9/22/1999 0:00:00,"",18,452680.8,5010476,"9","lot",,,"",,,,,,,
10052377,"1530843",,,,9/22/1999 0:00:00,"",18,453998.8,5012705,"9","lot",,,"",,,,,,,
10052378,"1530844",,,,9/15/1999 0:00:00,"",18,471160.9,5027730,"9","lot",,,"",,,,,,,
10052379,"1530845",,,,8/10/1999 0:00:00,"",18,428478.6,5022128,"9","lot",,,"",,,,,,,
10052380,"1530846",,,,9/16/1999 0:00:00,"",18,427680.6,5023041,"9","lot",,,"",,,,,,,
10052381,"1530847",,,,9/16/1999 0:00:00,"",18,429928.1,5022163,"9","lot",,,"",,,,,,,
10052382,"1530848",,,,9/24/1999 0:00:00,"",18,462264.8,5013819,"9","lot",,,"",,,,,,,
10052383,"1530849",,,,9/23/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052384,"1530850",,,,10/4/1999 0:00:00,"",18,467806.6,5026742.7,"3","gps","UTM83",,"",,,,,,,
10052385,"1530851",,,,8/30/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052386,"1530852",,,,9/15/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052387,"1530853",,,,9/15/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052388,"1530854",,,,9/24/1999 0:00:00,"",18,451847.3,5014213,"9","lot",,,"",,,,,,,
10052389,"1530855",,,,9/23/1999 0:00:00,"",18,466177.8,5014276,"9","lot",,,"",,,,,,,
10052390,"1530856",,,,9/21/1999 0:00:00,"",18,468694.9,5002627,"9","lot",,,"",,,,,,,
