"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500318,10022363,"1500318","1",
961500319,10022364,"1500319","1",
961500320,10022365,"1500320","1",
961500321,10022366,"1500321","1",
961500322,10022367,"1500322","1",
961500323,10022368,"1500323","1",
961500324,10022369,"1500324","1",
961500325,10022370,"1500325","1",
961500326,10022371,"1500326","1",
961500327,10022372,"1500327","1",
961500328,10022373,"1500328","1",
961500329,10022374,"1500329","1",
961500330,10022375,"1500330","1",
961500331,10022376,"1500331","1",
961500332,10022377,"1500332","1",
961500333,10022378,"1500333","7",
961500334,10022379,"1500334","1",
961500335,10022380,"1500335","1",
961500336,10022381,"1500336","1",
961500337,10022382,"1500337","1",
961500338,10022383,"1500338","1",
961500339,10022384,"1500339","1",
961500340,10022385,"1500340","1",
961500341,10022386,"1500341","1",
961500342,10022387,"1500342","1",
961500343,10022388,"1500343","1",
961500344,10022389,"1500344","1",
961500345,10022390,"1500345","1",
961500346,10022391,"1500346","1",
961500347,10022392,"1500347","1",
961500348,10022393,"1500348","1",
961500349,10022394,"1500349","1",
961500350,10022395,"1500350","1",
961500351,10022396,"1500351","1",
961500352,10022397,"1500352","1",
961500353,10022398,"1500353","1",
961500354,10022399,"1500354","1",
961500355,10022400,"1500355","1",
961500356,10022401,"1500356","1",
961500357,10022402,"1500357","1",
961500358,10022403,"1500358","1",
961500359,10022404,"1500359","1",
961500360,10022405,"1500360","1",
961500361,10022406,"1500361","1",
961500362,10022407,"1500362","1",
961500363,10022408,"1500363","1",
961500364,10022409,"1500364","1",
961500365,10022410,"1500365","1",
961500366,10022411,"1500366","1",
961500367,10022412,"1500367","1",
961500368,10022413,"1500368","1",
961500369,10022414,"1500369","1",
961500370,10022415,"1500370","1",
961500371,10022416,"1500371","1",
961500372,10022417,"1500372","1",
961500373,10022418,"1500373","1",
961500374,10022419,"1500374","1",
961500375,10022420,"1500375","1",
961500376,10022421,"1500376","1",
961500377,10022422,"1500377","1",
961500378,10022423,"1500378","1",
961500379,10022424,"1500379","1",
961500380,10022425,"1500380","1",
961500381,10022426,"1500381","1",
961500382,10022427,"1500382","1",
961500383,10022428,"1500383","1",
961500384,10022429,"1500384","1",
961500385,10022430,"1500385","1",
961500386,10022431,"1500386","1",
961500387,10022432,"1500387","1",
961500388,10022433,"1500388","1",
961500389,10022434,"1500389","1",
961500390,10022435,"1500390","1",
961500391,10022436,"1500391","1",
961500392,10022437,"1500392","1",
961500393,10022438,"1500393","1",
961500394,10022439,"1500394","1",
961500395,10022440,"1500395","1",
961500396,10022441,"1500396","1",
961500397,10022442,"1500397","1",
961500398,10022443,"1500398","1",
961500399,10022444,"1500399","1",
961500400,10022445,"1500400","1",
961500401,10022446,"1500401","1",
961500402,10022447,"1500402","1",
961500403,10022448,"1500403","1",
961500404,10022449,"1500404","1",
961500405,10022450,"1500405","1",
961500406,10022451,"1500406","1",
961500407,10022452,"1500407","1",
961500408,10022453,"1500408","1",
961500409,10022454,"1500409","1",
961500410,10022455,"1500410","1",
961500411,10022456,"1500411","1",
961500412,10022457,"1500412","1",
961500413,10022458,"1500413","1",
961500414,10022459,"1500414","1",
961500415,10022460,"1500415","1",
961500416,10022461,"1500416","1",
961500417,10022462,"1500417","1",
961500418,10022463,"1500418","1",
961500419,10022464,"1500419","1",
961500420,10022465,"1500420","1",
961500421,10022466,"1500421","1",
961500422,10022467,"1500422","1",
961500423,10022468,"1500423","1",
961500424,10022469,"1500424","1",
961500425,10022470,"1500425","1",
961500426,10022471,"1500426","1",
961500427,10022472,"1500427","1",
961500428,10022473,"1500428","1",
961500429,10022474,"1500429","1",
961500430,10022475,"1500430","1",
961500431,10022476,"1500431","1",
961500432,10022477,"1500432","1",
961500433,10022478,"1500433","1",
961500434,10022479,"1500434","1",
961500435,10022480,"1500435","1",
961500436,10022481,"1500436","1",
961500437,10022482,"1500437","1",
961500438,10022483,"1500438","1",
961500439,10022484,"1500439","1",
961500440,10022485,"1500440","1",
961500441,10022486,"1500441","1",
961500442,10022487,"1500442","1",
961500443,10022488,"1500443","1",
961500444,10022489,"1500444","1",
961500445,10022490,"1500445","1",
961500446,10022491,"1500446","1",
961500447,10022492,"1500447","1",
961500448,10022493,"1500448","1",
961500449,10022494,"1500449","1",
961500450,10022495,"1500450","1",
961500451,10022496,"1500451","1",
961500452,10022497,"1500452","1",
961500453,10022498,"1500453","1",
961500454,10022499,"1500454","1",
961500455,10022500,"1500455","1",
961500456,10022501,"1500456","1",
961500457,10022502,"1500457","1",
961500458,10022503,"1500458","1",
961500459,10022504,"1500459","1",
