"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"OTTAWA CITY   ","18 437266 5023272 W","1952-10 3725","4    4    ","FR 0050 UK 0060 UK 0070 ","3/3/8/0:30","DO ","","1508059 () ","BLCK CLAY 0005 BLCK LMSN 0074 "
"OTTAWA CITY   ","18 441391 5025722 W","1953-09 3725","4    4    ","FR 0066 ","15///:","CO ","","1508038 () ","CLAY 0008 WHIT LMSN 0066 "
"OTTAWA CITY   ","18 441681 5025132 W","1952-11 3566","4    4    ","FR 0030 FR 0040 FR 0053 ","7//7/1:0","CO DO ","","1508037 () ","CLAY MSND STNS 0003 ROCK 0007 LMSN 0053 "
"OTTAWA CITY   ","18 441441 5025622 W","1951-11 3725","4    4    ","FR 0060 ","10/15/4/0:30","DO ","","1508036 () ","LOAM 0002 LMSN 0100 "
"OTTAWA CITY   ","18 441471 5025702 W","1950-05 1301","4    4    ","FR 0050 ","9/15//0:10","DO ","","1508035 () ","LMSN 0050 "
"OTTAWA CITY   ","18 441896 5023102 W","1959-02 1301","5    5    ","FR 0080 ","12/15/10/1:0","DO ","","1508034 () ","CLAY 0008 LMSN 0087 "
"OTTAWA CITY   ","18 441371 5025122 W","1954-10 4833","5    5    ","FR 0248 ","6/125/7/0:40","CO ","","1508040 () ","LOAM 0006 LMSN 0251 "
"OTTAWA CITY   ","18 440031 5024222 W","1953-10 4833","5    ","FR 0205 ","45/80/5/0:15","DO ","","1508032 () ","PRDR 0129 LMSN 0215 "
"OTTAWA CITY   ","18 450501 5032948 W","1951-04 3718","5    5    ","FR 0060 FR 0103 FR 0150 FR 0180 ","30/80/2/1:30","DO ","","1508041 () ","LMSN 0185 "
"OTTAWA CITY   ","18 440011 5024162 W","1953-04 4825","5    5    ","FR 0127 FR 0183 ","28/70/5/0:20","DO ","","1508030 () ","MSND FILL CLAY 0006 LMSN 0183 "
"OTTAWA CITY   ","18 440051 5024182 W","1953-04 4825","5    5    ","FR 0070 FR 0120 ","18/22/5/0:20","DO ","","1508029 () ","FILL 0006 LMSN 0125 "
"OTTAWA CITY   ","18 440076 5024152 W","1953-04 4825","5    5    ","FR 0070 FR 0120 ","14/22/3/0:20","DO ","","1508028 () ","CLAY 0016 LMSN 0131 "
"OTTAWA CITY   ","18 440031 5024092 W","1953-03 4825","5    5    ","FR 0065 FR 0120 ","12/25/4/0:20","DO ","","1508027 () ","FILL MSND CLAY 0010 LMSN 0130 "
"OTTAWA CITY   ","18 440006 5024182 W","1953-03 4825","5    5    ","FR 0120 FR 0140 ","22/65/5/0:10","DO ","","1508026 () ","CLAY LOAM 0008 LMSN 0149 "
"OTTAWA CITY   ","18 437511 5022392 W","1953-12 3601","5    5    ","FR 0152 ","62//5/1:0","DO ","","1508295 () ","RED  MSND 0032 CLAY 0045 GRVL 0052 LMSN 0152 "
"OTTAWA CITY   ","18 440051 5024182 W","1953-11 4833","5    ","FR 0210 ","25/80/5/0:15","DO ","","1508033 () ","PRDR 0128 LMSN 0214 "
"OTTAWA CITY   ","18 437871 5023672 W","1953-06 3725","4    4    ","FR 0036 ","15/18/1/0:15","DO ","","1508048 () ","MSND STNS 0002 GREY ROCK 0040 "
"OTTAWA CITY   ","18 448721 5025822 W","1952-11 3725","4    4    ","SU ","15///:","DO ","","1508056 () ","CLAY SHLE 0005 BLCK SHLE 0090 "
"OTTAWA CITY   ","18 448721 5025852 W","1952-10 3725","4    4    4    ","SU ","15///:","DO ","","1508055 () ","CLAY SHLE 0005 BLCK SHLE 0108 "
"OTTAWA CITY   ","18 448671 5025822 W","1952-07 3725","4    4    ","FR 0068 ","10/15//:","DO ","","1508054 () ","CLAY 0010 BLUE SHLE 0090 "
"OTTAWA CITY   ","18 441271 5022852 W","1951-01 5448","5    5    ","FR 0055 ","8/15/7/0:30","DO ","","1508053 () ","CLAY 0015 LMSN 0055 "
"OTTAWA CITY   ","18 438591 5023362 W","1953-09 3601","5    5    ","FR 0090 ","28//3/1:0","DO ","","1508052 () ","CLAY 0023 GRVL 0038 LMSN 0090 "
"OTTAWA CITY   ","18 438521 5023532 W","1953-01 3566","4    4    ","FR 0070 FR 0100 FR 0110 ","42/42/7/1:0","DO ","","1508051 () ","MSND 0002 CLAY 0048 BLUE LMSN 0117 "
