"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"NEPEAN TOWNSHIP RF  05 010","18 438547 5008889 W","2024-07 7675","6    2    ","UT 0040 ","","MT ","0092 10 ","7484862 (ZW5TQ654) A219708","BRWN SAND  DRY 0020 GREY CLAY SILT 0080 GREY GRVL SILT 0102 "
"NEPEAN TOWNSHIP RF  05 010","18 438519 5008958 W","2024-02 7675","2    ","UT 0004 ","","MT ","0005 5  ","7474298 (SYVAC5YT) A219821","BRWN SAND STNS 0004 GREY SAND SILT 0010 "
"NEPEAN TOWNSHIP RF  05 010","18 438599 5009121 W","2009-11 7241","2.04 ","","","MT "," ","7136574 (Z89417)  A",""
"NEPEAN TOWNSHIP RF  05 010","18 437013 5008110 W","2001-05 1558","6    6    ","UK 0073 ","2/25/30/1:","DO ","","1531927 (230100) ","BRWN CLAY PCKD 0012 GREY CLAY STKY 0030 GREY CLAY 0060 GREY SAND GRVL WBRG 0070 GREY LMSN FCRD 0075 "
"NEPEAN TOWNSHIP RF  05 010","18 436921 5008092 W","1971-08 1558","5    ","FR 0085 ","12/30/10/1:0","DO ","","1511390 () ","BRWN CLAY 0006 GREY CLAY 0030 GREY MSND STNS 0045 GREY GRVL MSND BLDR 0062 GREY LMSN 0086 "
"NEPEAN TOWNSHIP RF  05 010","18 436901 5008122 W","1958-06 3504","5    5    ","FR 0090 ","6/8/8/1:0","DO ","","1506243 () ","CLAY 0030 MSND BLDR 0064 LMSN 0090 "
"NEPEAN TOWNSHIP RF  05 011","18 438399 5009600 W","1975-07 1558","6    6    ","FR 0115 FR 0140 ","30/80/200/1:0","DO ","","1514807 () ","BRWN SAND PCKD 0110 GRVL SAND PCKD 0113 GREY LMSN 0148 "
"NEPEAN TOWNSHIP RF  05 011","18 437030 5008521 W","1982-08 3504","6    ","FR 0070 ","2/10/25/0:30","DO ","","1517900 () ","BLUE CLAY 0053 SAND 0065 GRVL 0075 "
"NEPEAN TOWNSHIP RF  05 011","18 437330 5008721 W","1984-05 4875","6    ","FR 0060 ","1/55/10/1:0","DO ","","1519008 () ","CLAY 0043 GRVL BLDR 0056 CGVL 0064 UNKN 0066 "
"NEPEAN TOWNSHIP RF  05 011","18 436901 5008442 W","1964-02 1301","5    5    ","FR 0085 ","/15/10/1:0","IR ","","1506245 () ","CLAY 0075 LMSN 0085 "
"NEPEAN TOWNSHIP RF  05 011","18 436941 5008782 W","1958-06 1301","4    ","FR 0072 ","10/12/6/1:0","DO ","","1506244 () ","CLAY 0068 GRVL 0072 "
"NEPEAN TOWNSHIP RF  05 012","18 436877 5008931 W","2009-06 6455","6.25 ","SU 0076 ","8/15/50/1:","DO "," ","7132139 (Z38028) A034472","BRWN CLAY THIK 0016 GREY CLAY THIK 0050 GREY CLAY 0070 GREY LMSN HARD 0080 "
"NEPEAN TOWNSHIP RF  05 012","18 436861 5008922 W","1959-06 1301","2    2    ","FR 0098 ","3/5/8/1:0","DO ","","1506246 () ","CLAY 0071 LMSN 0098 "
"NEPEAN TOWNSHIP RF  05 013","18 438130 5010081 W","2004-11 6617","","FR 0003 ","","NU ","0010 5  ","1535164 (Z01873) A001792","BRWN CSND 0015 "
"NEPEAN TOWNSHIP RF  05 013","18 438000 5010116 W","2004-11 6617","","FR 0001 ","","NU ","0010 5  ","1535163 (Z01872) A001793","BRWN CSND 0015 "
"NEPEAN TOWNSHIP RF  05 013","18 436513 5009163 W","1973-04 1558","6    ","FR 0090 ","2/60/15/1:0","DO ","","1512494 () ","BRWN CLAY 0017 BLUE CLAY 0048 GREY SAND GRVL BLDR 0090 "
"NEPEAN TOWNSHIP RF  05 013","18 438130 5010421 W","1979-11 1558","6    ","FR 0076 ","25/35/50/1:0","DO ","","1519656 () ","BRWN SAND GRVL 0008 BRWN SAND 0030 GREY SAND GRVL 0070 GREY SAND GRVL PCKD 0076 "
"NEPEAN TOWNSHIP RF  05 014","18 437136 5010197 L","2000-11 4877","","FR 0118 FR 0154 ","50/150/12/1:0","CO ","","1531593 (216841) ","RED  SAND SOFT 0003 GREY CLAY SOFT 0068 GREY CLAY SAND GRVL 0078 GREY LMSN HARD 0118 GREY SNDS QRTZ LYRD 0161 "
"NEPEAN TOWNSHIP RF  05 014","18 436585 5009900 W","1975-08 3644","6    ","FR 0150 ","5/100/5/1:0","DO ","","1515137 () ","GREY CLAY 0018 BLUE CLAY 0070 GREY HPAN STNS 0095 GREY LMSN 0160 "
"NEPEAN TOWNSHIP RF  05 014","18 438080 5010524 W","1974-04 3658","6    6    ","FR 0083 ","0/30/45/2:0","DO ","","1514030 () ","BRWN SAND 0006 GREY GRVL BLDR 0054 GREY LMSN 0085 "
"NEPEAN TOWNSHIP RF  05 014","18 436228 5009842 W","1975-10 3644","6    ","FR 0110 ","3/30/20/1:0","DO ","","1515174 () ","GREY CLAY 0010 BLUE CLAY 0060 GREY HPAN SAND GRVL 0090 GREY LMSN 0115 "
"NEPEAN TOWNSHIP RF  05 014","18 436231 5009682 W","1969-11 1801","2    2    ","FR 0097 ","7/20/4/1:0","DO ","","1511005 () ","GREY CLAY 0083 GRVL STNS 0087 LMSN 0100 "
"NEPEAN TOWNSHIP RF  05 014","18 437140 5010196 L","1985-04 1558","6    6    ","FR 0085 ","15/40/50/1:0","DO ","","1519606 () ","BRWN SAND  DRY 0010 GREY SAND 0030 BRWN SAND VERY WBRG 0070 GREY SAND GRVL PCKD 0081 GREY LMSN MGRD 0090 "
"NEPEAN TOWNSHIP RF  05 014","18 438130 5010521 W","1979-06 1558","6    6    ","FR 0060 ","25/30/50/1:0","DO ","","1517051 () ","BRWN SAND 0025 BRWN SAND GRVL 0060 "
"NEPEAN TOWNSHIP RF  05 014","18 436551 5009692 W","1967-01 1503","5    5    ","FR 0092 ","2/50/10/2:0","DO ","","1506249 () ","CLAY 0050 GRVL 0060 CLAY MSND 0085 GRVL 0091 BRWN LMSN 0094 "
"NEPEAN TOWNSHIP RF  05 014","18 436201 5009882 W","1960-09 1301","4    4    ","FR 0150 ","10/15/10/1:0","DO ","","1506248 () ","CLAY 0096 GREY LMSN 0150 "
"NEPEAN TOWNSHIP RF  05 014","18 436211 5009892 W","1957-07 4833","4    4    ","FR 0095 ","12/12/7/0:30","DO ","","1506247 () ","CLAY 0093 LMSN 0097 "
"NEPEAN TOWNSHIP RF  05 015","18 436467 5010222 W","2017-06 1119","6.25 6    ","UT 0098 ","8/8/20/1:","DO "," ","7292138 (Z237466) A229262","CLAY 0072 GRVL BLDR 0086 GREY LMSN 0098 GREY LMSN 0100 "
"NEPEAN TOWNSHIP RF  05 015","18 436978 5010584 L","1999-10 1558","6    6    ","UK 0095 ","7/50/100/1:","DO ","","1530946 (208478) ","BRWN CLAY PCKD 0012 GREY CLAY STKY 0040 BLUE CLAY 0070 GREY CLAY SNDY STNS 0085 GREY LMSN 0100 "
"NEPEAN TOWNSHIP RF  05 015","18 436561 5010182 W","1969-09 3644","5    5    ","FR 0112 ","12/20/15/1:0","DO ","","1510296 () ","CLAY 0095 LMSN 0114 "
"NEPEAN TOWNSHIP RF  05 015","18 437823 5010903 W","1984-10 3644","6    6    ","FR 0076 ","10/40/50/1:0","DO ","","1519319 () ","GREY SAND GRVL 0003 GREY CLAY 0040 GREY HPAN GRVL 0068 GREY LMSN 0080 "
"NEPEAN TOWNSHIP RF  05 015","18 437301 5010762 W","1954-07 1802","4    4    ","FR 0135 ","5/10/5/1:0","DO ","","1506250 () ","CLAY 0080 GREY LMSN 0140 "
"NEPEAN TOWNSHIP RF  05 015","18 437761 5010882 W","1962-01 3701","6    ","FR 0067 ","/40/20/1:0","IN ","","1506251 () ","PRDG 0018 GRVL 0067 "
"NEPEAN TOWNSHIP RF  05 015","18 436541 5010512 W","1966-12 1503","5    5    ","FR 0105 ","8/30/10/2:0","DO ","","1506252 () ","BRWN CLAY 0040 BLUE CLAY 0090 GRVL 0096 BRWN LMSN 0107 "
"NEPEAN TOWNSHIP RF  05 016","18 436602 5010752 W","1973-11 1558","6    6    ","FR 0090 ","8/50/10/1:0","DO ","","1513630 () ","BRWN CLAY 0019 BLUE CLAY 0074 GREY SAND GRVL 0076 GREY LMSN 0092 "
"NEPEAN TOWNSHIP RF  05 016","18 436611 5010898 W","1973-06 3503","6    ","FR 0105 ","14/27/15/0:30","DO ","","1513291 () ","GREY CLAY SOFT 0060 GREY GRVL CLAY PCKD 0082 GREY LMSN SAND LYRD 0115 "
"NEPEAN TOWNSHIP RF  05 016","18 435911 5010662 W","1964-03 1802","6    6    ","FR 0108 ","2/105/33/1:0","DO ","","1506253 () ","CLAY 0100 GRVL MSND 0110 "
"NEPEAN TOWNSHIP RF  05 017","18 437490 5012019 W","2017-10 1119","6.25 6    ","UT 0066 UT 0072 UT 0079 ","28/44/20/1:0","DO "," ","7301348 (Z262175) A229087","CLAY 0009 SAND GRVL 0034 GREY LMSN 0100 "
"NEPEAN TOWNSHIP RF  05 017","18 437491 5011722 W","1972-01 1558","6    6    ","FR 0092 FR 0121 ","27/45/12/1:0","DO ","","1511735 () ","BRWN SAND GRVL BLDR 0064 GREY LMSN 0123 "
"NEPEAN TOWNSHIP RF  05 017","18 436651 5011562 W","1971-09 3644","5    ","FR 0093 ","6/14/21/1:0","DO ","","1511432 () ","BLUE CLAY 0058 GREY HPAN 0062 GREY LMSN 0093 "
"NEPEAN TOWNSHIP RF  05 017","18 437501 5011962 W","1963-09 3504","6    6    ","FR 0075 ","38/50/6/1:0","DO ","","1506255 () ","MSND GRVL 0040 LMSN 0075 "
"NEPEAN TOWNSHIP RF  05 017","18 437471 5012022 W","1962-05 3601","4    ","FR 0055 ","22/30/4/1:0","DO ","","1506254 () ","CLAY BLDR 0040 GRVL 0055 "
"NEPEAN TOWNSHIP RF  05 017","18 437031 5011562 W","1966-06 1503","5    5    ","FR 0083 ","31/31/10/1:0","DO ","","1506256 () ","CLAY BLDR 0050 HPAN 0056 GRVL 0057 HPAN 0068 LMSN 0085 "
"NEPEAN TOWNSHIP RF  05 018","18 436457 5011684 W","1976-04 3644","6    ","FR 0058 ","/20/100/1:0","DO ","","1515326 () ","GREY CLAY 0045 GREY STNS CLAY 0055 GREY GRVL 0058 "
"NEPEAN TOWNSHIP RF  05 018","18 436731 5012082 W","1969-01 1301","5    5    ","FR 0158 ","35/40/20/1:0","ST DO ","","1509948 () ","CLAY MSND BLDR 0010 GRVL BLDR 0020 HPAN BLDR 0031 MSND 0036 GREY LMSN 0160 "
"NEPEAN TOWNSHIP RF  05 018","18 437456 5012047 W","1965-03 1503","5    5    ","FR 0098 ","36/46/10/1:0","DO ","","1506257 () ","BLDR HPAN 0037 LMSN 0100 "
"NEPEAN TOWNSHIP RF  05 019","18 437185 5012729 W","2018-08 1119","6.25 6.11 ","","40/58/20/1:0","DO "," ","7318053 (Z276855) A252837","SAND GRVL 0025 GREY LMSN 0180 "
"NEPEAN TOWNSHIP RF  05 019","18 435446 5011762 W","1959-05 3701","5    5    ","FR 0097 ","5/15/7/2:0","DO ","","1506258 () ","CLAY 0094 LMSN 0109 "
"NEPEAN TOWNSHIP RF  05 019","18 435456 5011722 W","1966-05 3504","6    5    5    ","FR 0108 ","8/35/10/1:0","DO ","","1506259 () ","GREY CLAY 0080 CLAY GRVL 0093 GREY LMSN 0108 "
"NEPEAN TOWNSHIP RF  05 020","18 435220 5012136 W","2022-07 7681","","","","","","7434905 (Z379357)  A P",""
"NEPEAN TOWNSHIP RF  05 020","18 436178 5012526 L","1996-11 1558","6    6    ","UK 0182 ","81/120/15/1:0","DO ","","1529276 (171280) ","BRWN LOAM SNDY LOOS 0016 GREY LMSN LYRD MGRD 0190 "
"NEPEAN TOWNSHIP RF  05 020","18 436175 5012527 L","2003-09 1558","","","","NU ","","1534315 (267004)  A",""
"NEPEAN TOWNSHIP RF  05 020","18 436175 5012527 L","2003-09 1558","","","","NU ","","1534316 (267005)  A",""
"NEPEAN TOWNSHIP RF  05 020","18 436911 5013142 W","1976-10 1558","6    6    ","FR 0078 ","10/65/5/1:0","DO ","","1515699 () ","BRWN CLAY 0011 GREY HPAN PCKD 0027 GREY LMSN SOFT 0094 "
"NEPEAN TOWNSHIP RF  05 020","18 437130 5013021 W","1976-06 1558","6    6    ","FR 0040 FR 0135 ","25/75/6/1:0","DO ","","1515403 () ","BRWN CLAY STNS 0005 GREY HPAN PCKD 0010 GREY LMSN SOFT 0148 "
"NEPEAN TOWNSHIP RF  05 020","18 436621 5012967 W","1972-06 1558","7    ","FR 0060 FR 0083 ","12/70/7/1:0","DO ","","1511884 () ","GREY CLAY BLDR 0006 GREY HPAN 0018 GREY LMSN 0085 "
"NEPEAN TOWNSHIP RF  05 020","18 436651 5012962 W","1977-08 3644","6    ","FR 0190 FR 0231 ","60/140/5/1:0","CO ","","1516125 () ","GREY CLAY STNS 0008 GREY LMSN SHLY 0231 "
"NEPEAN TOWNSHIP RF  05 020","18 437030 5013121 W","1984-11 3142","6    6    ","FR 0073 UK 0102 ","14/55/20/1:0","DO ","","1519444 () ","BRWN CLAY BLDR 0009 GREY LMSN 0062 BLCK LMSN 0103 "
"NEPEAN TOWNSHIP RF  05 020","18 436671 5013002 W","1966-07 1503","5    5    ","FR 0068 ","5/15/10/1:0","DO ","","1506262 () ","GRVL 0018 LMSN 0070 "
"NEPEAN TOWNSHIP RF  05 020","18 436771 5013742 W","1963-09 1301","4    4    ","FR 0118 ","50/55/7/1:0","DO ","","1506261 () ","CLAY BLDR 0060 GREY LMSN 0118 "
"NEPEAN TOWNSHIP RF  05 020","18 436731 5013042 W","1959-06 3504","5    5    ","FR 0080 ","6/16/5/1:0","DO ","","1506260 () ","GRVL 0023 LMSN 0080 "
"NEPEAN TOWNSHIP RF  05 020","18 435271 5012062 W","1966-12 3503","6    6    ","FR 0120 ","13/25/15/0:30","DO ","","1506263 () ","CLAY 0096 GRVL 0108 LMSN GRVL 0135 "
"NEPEAN TOWNSHIP RF  05 021","18 435320 5012230 W","2015-08 1119","6.25 5.94 ","UT 0106 ","6/16/20/1:","DO "," ","7248769 (Z191566) A177716","GREY CLAY 0099 BLCK LMSN 0109 "
"NEPEAN TOWNSHIP RF  05 021","18 435683 5012702 W","2018-11 6907","","","",""," ","7323320 (Z299050) A258059",""
"NEPEAN TOWNSHIP RF  05 021","18 435414 5012419 W","2018-07 1119","6.25 6.11 ","UT 0134 ","8/46/15/1:0","DO "," ","7318086 (Z276973) A229143","GREY CLAY 0095 SAND GRVL BLDR 0106 GREY LMSN 0143 "
"NEPEAN TOWNSHIP RF  05 021","18 435551 5012443 W","2014-06 1119","6.25 5.96 ","UT 0105 ","13/16/20/1:0","DO "," ","7226502 (Z166943) A135463","BLUE CLAY 0099 GREY LMSN FCRD SHLE 0105 "
"NEPEAN TOWNSHIP RF  05 021","18 435139 5012579 W","2017-09 1119","","","",""," ","7299173 (Z262211)  A",""
"NEPEAN TOWNSHIP RF  05 021","18 435133 5012600 W","2017-09 1119","6.25 6    ","UT 0094 ","5/15/20/1:0","DO "," ","7299164 (Z262210) A229245","HPAN 0006 CLAY 0089 SHLE ROCK 0094 SHLE ROCK 0095 "
"NEPEAN TOWNSHIP RF  05 021","18 435483 5012724 W","2021-07 7681","6.25 5.88 ","UT 0070 ","30/31/20/1:","DO ","","7395823 (Z364680) A320926","STNS SAND 0007 GRVL SAND 0054 GREY LMSN FCRD 0070 GREY LMSN FCRD 0078 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1995-08 3644","6    ","","","","","1528668 (137559)  A",""
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1994-12 4875","6    ","FR 0107 ","3/6/15/40:0","DO AC ","","1528418 (150438) ","GREY CLAY 0015 BLUE CLAY 0076 GREY TILL 0086 GREY SAND GRVL 0107 GREY SHLE FCRD 0109 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1998-10 1558","6    ","UK 0093 ","12/40/30/1:0","ST ","","1530353 (194743) ","BRWN CLAY PCKD 0012 GREY CLAY STNS LOOS 0029 GREY SAND GRVL BLDR 0093 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1998-10 1558","6    6    ","UK 0135 ","//12/1:","ST ","","1530352 (194744) ","BRWN CLAY 0012 GREY CLAY BLDR 0060 GREY GRVL BLDR 0079 GREY GRVL PCKD 0091 GREY LMSN SOFT 0148 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1998-02 1558","6    6    ","UK 0075 ","11/40/25/1:0","DO ","","1530004 (183830) ","BRWN CLAY STNS PCKD 0014 GREY CLAY STKY 0038 GREY HPAN BLDR PCKD 0065 GREY GRVL PCKD 0075 "
"NEPEAN TOWNSHIP RF  05 021","18 436023 5012916 L","2003-08 1119","8    6    6    ","UK 0064 ","24/55/20/1:0","DO ","","1533964 (248420) ","CLAY SNDY 0015 CLAY SNDY GRVL 0064 "
"NEPEAN TOWNSHIP RF  05 021","18 435608 5012691 W","2004-11 1119","6.25 ","0067 ","32/48/15/1:0","DO ","","1535273 (Z19145) A018909","CLAY GRVL 0060 GRVL 0068 "
"NEPEAN TOWNSHIP RF  05 021","18 435469 5012365 W","2001-04 1558","5    6    ","UK 0097 ","4/7/16/1:15","DO ","0097 4  ","1531892 (230055) ","BRWN CLAY 0015 BLUE CLAY 0070 GREY SILT SNDY 0083 GREY SAND 0095 GREY SHLE LMSN FCRD 0105 "
"NEPEAN TOWNSHIP RF  05 021","18 435237 5012572 W","2002-10 1558","6    ","UK 0110 ","6/30/30/1:0","DO ","","1533417 (250474) ","BRWN LOAM STNS FILL 0006 BRWN CLAY 0014 GREY CLAY 0089 GREY SAND GRVL 0109 "
"NEPEAN TOWNSHIP RF  05 021","18 435588 5012440 W","2002-08 1119","8    6    6    ","UK 0094 UK 0095 ","10/80/80/1:0","DO ","","1533055 (248070) ","CLAY 0087 GRVL 0091 ROCK FCRD 0096 "
"NEPEAN TOWNSHIP RF  05 021","18 435655 5012627 W","2003-05 1119","8    6    ","UK 0086 ","7/80/100/1:0","DO ","","1533773 (248318) ","CLAY SNDY 0010 CLAY 0087 SAND BLDR GRVL 0090 GREY LMSN 0090 "
"NEPEAN TOWNSHIP RF  05 021","18 435164 5012483 W","2004-11 1119","6.25 ","0100 ","/3/20/1:0","DO ","","1535274 (Z19144) A018906","CLAY 0090 GRVL 0098 GREY LMSN 0101 "
"NEPEAN TOWNSHIP RF  05 021","18 435553 5012478 W","2001-06 1558","6    6    ","UK 0095 ","3/25/30/1:","DO ","","1532046 (230130) ","BRWN CLAY 0012 GREY CLAY 0030 BLUE CLAY 0069 GREY CLAY SNDY STNS 0080 GREY LMSN LYRD FCRD 0100 "
"NEPEAN TOWNSHIP RF  05 021","18 435686 5012631 W","1973-10 1558","6    6    ","FR 0065 ","30/50/15/1:0","DO ","","1513615 () ","BRWN SAND FILL 0005 BRWN HPAN BLDR PCKD 0062 GREY LMSN 0066 "
"NEPEAN TOWNSHIP RF  05 021","18 435732 5012697 W","1975-12 1558","6    6    ","UK 0069 ","10/35/25/1:0","DO ","","1515117 () ","BLCK MUCK 0002 BRWN CLAY BLDR GRVL 0055 BLCK LMSN SOFT 0073 "
"NEPEAN TOWNSHIP RF  05 021","18 435436 5012712 W","1973-09 1558","6    ","FR 0068 ","25/30/20/1:0","DO ","","1513569 () ","BRWN SAND BLDR 0066 BLCK LMSN 0070 "
"NEPEAN TOWNSHIP RF  05 021","18 435403 5012363 W","2010-11 7417","6.11 6.11 ","UT ","7//15/1:","DO "," ","7156838 (Z120380) A106082","BRWN CLAY SILT HARD GREY CLAY SILT HARD 0031 GREY LMSN LYRD 0102 "
"NEPEAN TOWNSHIP RF  05 021","18 435431 5012757 W","2014-01 1119","6.25 6    ","UT 0076 UT 0078 ","22/24/20/1:","DO "," ","7217213 (Z166816) A127914","SAND GRVL BLDR 0059 GREY LMSN 0076 GREY LMSN 0078 GREY LMSN 0085 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1989-12 1558","6    6    ","UK 0120 ","1/60/15/1:0","DO ","","1524401 (66553) ","BRWN CLAY PCKD 0008 GREY CLAY STKY 0025 GREY CLAY 0085 GREY CLAY BLDR 0100 GREY GRVL 0118 GREY LMSN 0125 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1989-08 1558","6    6    ","FR 0108 ","2/35/20/1:0","DO ","","1523785 (66417) ","BRWN SAND FILL 0002 BRWN CLAY PCKD 0015 BLUE CLAY SOFT 0098 GREY SAND GRVL 0110 "
"NEPEAN TOWNSHIP RF  05 021","18 436027 5012916 L","1990-06 1558","6    6    ","UK 0094 ","0/15/25/1:0","DO ","","1524626 (79484) ","BRWN CLAY 0012 GREY CLAY 0070 GREY SAND GRVL 0095 "
"NEPEAN TOWNSHIP RF  05 021","18 435611 5012742 W","1968-08 1503","5    ","FR 0077 ","30/33/10/1:0","DO ","","1509684 () ","MSND BLDR 0058 MSND BLDR 0062 GRVL MSND 0077 "
"NEPEAN TOWNSHIP RF  05 021","18 435651 5012742 W","1969-11 3504","5    ","FR 0055 FR 0058 ","30/31/5/2:0","DO ","","1510476 () ","GRVL BLDR 0055 GRVL 0058 "
"NEPEAN TOWNSHIP RF  05 021","18 435821 5012692 W","1969-09 1503","6    ","FR 0055 ","25/30/10/4:0","DO ","","1510372 () ","GREY CLAY MSND BLDR 0025 GREY HPAN BLDR 0048 BLCK GRVL FSND 0055 "
"NEPEAN TOWNSHIP RF  05 021","18 435781 5012682 W","1968-06 1503","5    5    ","FR 0097 ","25/25/10/1:0","DO ","","1509687 () ","GRVL MSND BLDR 0057 LMSN 0098 "
"NEPEAN TOWNSHIP RF  05 021","18 435371 5012702 W","1969-05 1503","5    ","FR 0061 ","5/7/10/1:0","DO ","","1510081 () ","CLAY BLDR 0041 MSND 0056 GRVL 0061 "
"NEPEAN TOWNSHIP RF  05 021","18 435730 5012621 W","1984-05 3644","6    ","FR 0075 ","15/40/30/1:0","DO ","","1519007 () ","GREY HPAN STNS 0070 GREY GRVL 0082 "
"NEPEAN TOWNSHIP RF  05 021","18 435830 5012721 W","1980-09 3644","6    ","FR 0200 ","25/70/6/1:0","DO ","","1517401 () ","GREY CLAY STNS 0040 GREY HPAN BLDR 0066 GREY LMSN SHLY 0205 "
"NEPEAN TOWNSHIP RF  05 021","18 435830 5012621 W","1984-10 3644","6    6    ","FR 0160 ","25/160/6/1:0","DO ","","1519320 () ","GREY CLAY 0008 GREY HPAN 0068 GREY LMSN 0165 "
"NEPEAN TOWNSHIP RF  05 021","18 435711 5012682 W","1982-10 3644","6    6    ","FR 0121 ","10/80/10/1:0","DO ","","1518077 () ","GREY CLAY STNS 0021 GREY HPAN GRVL 0046 GREY GRVL STNS 0051 GREY HPAN STNS 0069 GREY LMSN 0125 "
"NEPEAN TOWNSHIP RF  05 021","18 435611 5012762 W","1978-11 1558","6    6    ","FR 0068 ","30/40/50/1:0","DO ","","1516843 () ","BRWN CLAY BLDR PCKD 0016 GREY HPAN BLDR 0060 GREY SAND GRVL 0069 "
"NEPEAN TOWNSHIP RF  05 021","18 435511 5012682 W","1977-06 1558","6    ","FR 0062 ","18/35/15/1:0","DO ","","1516031 () ","BRWN CLAY PCKD 0007 BRWN CLAY SAND BLDR 0020 GREY HPAN BLDR PCKD 0059 GREY GRVL SAND PCKD 0063 "
"NEPEAN TOWNSHIP RF  05 021","18 435351 5012757 W","1966-08 1503","5    ","FR 0055 ","20/35/10/1:0","DO ","","1506265 () ","CLAY BLDR 0035 HPAN 0049 GRVL 0055 "
"NEPEAN TOWNSHIP RF  05 021","18 436051 5012722 W","1957-03 3504","5    5    ","FR 0159 ","44/80/5/1:0","PS ","","1506266 () ","BLDR CLAY MSND 0045 LMSN 0159 "
"NEPEAN TOWNSHIP RF  05 021","18 435926 5012642 W","1959-09 3701","5    5    ","FR 0135 FR 0190 ","40/60/6/1:0","PS ","","1506264 () ","CLAY 0035 HPAN BLDR 0055 MSND BLDR 0079 GREY LMSN 0190 "
"NEPEAN TOWNSHIP RF  05 021","18 435501 5012782 W","1956-04 4825","4    4    ","FR 0088 ","10/30/5/0:30","DO ","","1506267 () ","CLAY STNS 0045 LMSN 0092 "
"NEPEAN TOWNSHIP RF  05 021","18 435631 5012662 W","1966-07 1802","6    6    ","FR 0058 ","20/45/17/1:0","DO ","","1506268 () ","HPAN 0055 GRVL 0060 "
"NEPEAN TOWNSHIP RF  05 021","18 435371 5014742 W","1967-09 1505","6    6    ","FR 0065 ","22/28/17/1:0","DO ","","1506269 () ","BLDR CLAY 0015 GRVL CLAY MSND 0048 BLCK MSND 0057 ROCK 0061 LMSN 0068 "
"NEPEAN TOWNSHIP RF  05 022","18 435270 5012865 W","2015-08 1119","6.25 6    ","UT 0210 ","33/124/8/1:","DO "," ","7248756 (Z191546) A186918","SAND GRVL BLDR 0058 GREY SHLE LMSN 0210 GREY SHLE LMSN 0220 "
"NEPEAN TOWNSHIP RF  05 022","18 436666 5013587 W","2018-03 1119","6.25 6.11 ","UT 0490 ","38/168/3/1:","DO "," ","7310023 (Z236999) A240642","SAND GRVL 0025 GREY LMSN 0500 "
"NEPEAN TOWNSHIP RF  05 022","18 435278 5012870 W","2015-08 1119","","","",""," ","7248743 (Z191547)  A",""
"NEPEAN TOWNSHIP RF  05 022","18 436608 5013831 W","2018-08 1119","","UT 0487 ","82/273/3/1:","DO "," ","7318033 (Z276879) A229169","---- 0240 GREY LMSN 0487 GREY SNDS 0500 "
"NEPEAN TOWNSHIP RF  05 022","18 435413 5012863 W","2019-06 6907","","","","","","7342505 (Z299060) A258072",""
"NEPEAN TOWNSHIP RF  05 022","18 436685 5013546 W","2019-03 1119","","","","","","7331476 (Z302561)  A",""
"NEPEAN TOWNSHIP RF  05 022","18 435119 5012765 W","2018-10 6378","6.25 ","","","DO "," ","7330701 (Z271832) A236135",""
"NEPEAN TOWNSHIP RF  05 022","18 436661 5013541 W","2019-03 1119","","","","","","7331475 (Z302563)  A",""
"NEPEAN TOWNSHIP RF  05 022","","1993-09 3644","","","","","","1536950 (76791)  A P",""
"NEPEAN TOWNSHIP RF  05 022","18 436710 5013853 W","2009-06 6964","1.37 ","0008 ","","","0005 5  ","7128283 (Z81993) A032198","GRVL FILL 0000 GREY SAND FILL 0007 BRWN SAND 0010 "
"NEPEAN TOWNSHIP RF  05 022","18 435875 5013309 L","1999-12 1119","","","","","","1531030 (210446) ",""
"NEPEAN TOWNSHIP RF  05 022","18 435875 5013308 L","1998-06 1558","6    6    ","UK 0106 ","1/100/12/1:0","DO ","","1530062 (183879) ","BRWN CLAY PCKD 0020 BLUE CLAY 0065 GREY CLAY STNS STKY 0095 GRVL SNDS PCKD 0110 "
"NEPEAN TOWNSHIP RF  05 022","18 435875 5013309 L","1999-12 1119","6    8    6    ","UK 0068 UK 0073 UK 0092 ","48/48/22/1:","PS ","","1531031 (210445) ","SAND GRVL BLDR 0056 GREY LMSN 0101 "
"NEPEAN TOWNSHIP RF  05 022","18 435206 5012927 W","1974-07 1558","6    6    ","FR 0060 ","20/30/25/1:0","DO ","","1514231 () ","BRWN SAND STNS 0010 GRVL BLDR 0055 BLCK LMSN 0065 "
"NEPEAN TOWNSHIP RF  05 022","18 434961 5012902 W","1972-06 1558","5    ","FR 0098 ","8/10/10/1:0","DO ","","1512237 () ","GREY CLAY BLDR 0020 GREY SAND GRVL BLDR 0050 GREY GRVL SAND BLDR 0091 GREN LMSN 0100 "
"NEPEAN TOWNSHIP RF  05 022","18 435071 5013082 W","1976-12 1558","6    6    ","FR 0067 ","35/45/40/1:0","DO ","","1515776 () ","BRWN CLAY BLDR 0046 BRWN SAND BLDR 0058 BLCK LMSN FCRD 0070 "
