"SCREEN_ID","WELL_ID","PIPE_ID","Layer","Slot","SCRN_TOP_DEPTH","SCRN_END_DEPTH","SCRN_MATERIAL","SCRN_DEPTH_UOM","SCRN_DIAMETER_UOM","SCRN_DIAMETER"
1006197801,"7268404",1006197785,,,,,,"ft","inch",
1006197843,"7268405",1006197832,,,,,,"ft","inch",
1006197886,"7268406",1006197873,,,,,,"ft","inch",
1006197973,"7268408",1006197962,,,,,,"ft","inch",
1006204746,"7268412",1006204733,,,,,,"ft","inch",
1006204782,"7268413",1006204777,,,,,,"ft","inch",
1006204797,"7268414",1006204787,,,,,,"ft","inch",
1006201962,"7268418",1006201948,,,,,,"ft","inch",
1006202150,"7268422",1006202144,1,,,,,"ft","inch",
1006202206,"7268424",1006202201,,,,,,"ft","inch",
1006202216,"7268425",1006202211,,,,,,"ft","inch",
1006202225,"7268426",1006202220,,,,,,"ft","inch",
1006202242,"7268427",1006202230,,,,,,"ft","inch",
1006202286,"7268428",1006202273,,,,,,"ft","inch",
1006202330,"7268429",1006202316,,,,,,"ft","inch",
1006202414,"7268431",1006202402,,,,,,"ft","inch",
1006202459,"7268432",1006202447,,,,,,"ft","inch",
1006202581,"7268434",1006202567,,,,,,"ft","inch",
1006202714,"7268437",1006202702,,,,,,"ft","inch",
1006202753,"7268438",1006202744,,,,,,"ft","inch",
1006202803,"7268439",1006202788,,,,,,"ft","inch",
1006203021,"7268444",1006203009,,,,,,"ft","inch",
1006203065,"7268445",1006203052,,,,,,"ft","inch",
1006203188,"7268448",1006203180,,,,,,"ft","inch",
1006203226,"7268449",1006203217,,,,,,"ft","inch",
1006203269,"7268450",1006203255,,,,,,"ft","inch",
1006203313,"7268451",1006203300,,,,,,"ft","inch",
1006203398,"7268453",1006203384,,,,,,"ft","inch",
1006203439,"7268454",1006203428,,,,,,"ft","inch",
1006203564,"7268457",1006203553,,,,,,"ft","inch",
1006204970,"7268458",1006204956,,,,,,"ft","inch",
1006203611,"7268459",1006203595,,,,,,"ft","inch",
1006203652,"7268460",1006203642,,,,,,"ft","inch",
1006203866,"7268466",1006203861,,,,,,"ft","inch",
1006208731,"7268606",1006208724,1,"8",27.50,31.50,"7","ft","inch",5.00
1006208732,"7268606",1006208724,2,,25.00,31.50,"1","ft","inch",
1006208755,"7268607",1006208750,,,,,,"ft","inch",
1006208769,"7268608",1006208761,,,,,,"ft","inch",
1006208779,"7268609",1006208774,,,,,,"ft","inch",
1006208793,"7268610",1006208784,,,,,,"ft","inch",
1006217363,"7268951",1006217355,,,,,,"m","cm",
1006217454,"7268953",1006217444,,,,,,"m","cm",
1006217827,"7268963",1006217821,,,,,,"m","cm",
