cop_band,cm_band,capacity_band,cell_appearances,cell_share_pct,cell_models,rank,ahri_number,ers_appearances,Use,brand,outdoor_model,Spec sheet,page,note,indoor_model,furnace_model,ahri_cop_5f,ahri_capacity_maintenance,ahri_rated_cap_47f_btuh,hspf2_region_iv,hspf2_region_v,cert_status,ahri_cold_climate,ahri_product_group,nrcan_listed,nrcan_brand,es_listed,es_most_efficient,es_cold_climate,es_refrigerant,compressor_staging,implausible_rating,source_url
COP<=1.8,cm>=0.80,>=42k,1688,0.53,71,3,216618919,6,,LENNOX,EL18KSLV-060-230A**,,,no held PDF mentions this model,CBK48MVT-048-230-**,,1.8,0.8958,48000,9,7.5,Active,Yes,ccASHP,yes,LENNOX,yes,Yes,Yes,R-454B,Continuously variable,,
1.8<COP<=2.0,cm<0.60,<18k,230,0.07,36,1,215471366,16,,MIDEA,MO1BS-H12B-1A,,,no held PDF mentions this model,,,1.85,0.5833,12000,8.7,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,<18k,230,0.07,36,2,215735287,11,,SENVILLE,SENL-12CD-OL,,,no held PDF mentions this model,,,1.85,0.55,12000,8.7,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,<18k,230,0.07,36,3,208552787,6,,MRCOOL,DIY-12-HP-C-115C25,,,no held PDF mentions this model,DIY-12-HP-WMAH-115C25,,1.96,0.5333,12000,9,7,Active,No,ASHP,yes,MRCOOL,yes,Yes,No,R-410A,Continuously variable,,
1.8<COP<=2.0,cm<0.60,18-30k,1359,0.43,143,1,215218828,8,,GOODMAN,GLZS4BA3010A*,,,no held PDF mentions this model,,,2,0.5217,27600,7.5,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,18-30k,1359,0.43,143,2,215382564,8,,GOODMAN,GLZS5BA3010A*,,,no held PDF mentions this model,,,1.95,0.4755,28600,7.5,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,18-30k,1359,0.43,143,3,215218044,6,,GOODMAN,GLZS4BA3010A*,,,no held PDF mentions this model,,,2,0.5217,27600,7.5,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,30-42k,1142,0.36,180,1,211291741,6,,RHEEM,RP15AZ36AJ2N,RHEEM_RP15AZ_productdata.pdf,4,exact outdoor model string in doc — combination NOT confirmed; rated points only — NOT a curve,,,2,0.5117,34200,7.8,,Active,No,,no,,yes,No,No,R-410A,Two-stage,,
1.8<COP<=2.0,cm<0.60,30-42k,1142,0.36,180,2,212396489,6,,Panasonic,CU-E36YAHK6,,,no held PDF mentions this model,,,1.9,0.5833,36000,8.5,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,30-42k,1142,0.36,180,3,206348140,5,,CARRIER,38MARBQ36AA3,,,no held PDF mentions this model,,,1.85,0.5556,36000,8,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,>=42k,218,0.07,83,1,206335358,7,,GREE,GMV-60WL/C-T(U),,,no held PDF mentions this model,,,1.9,0.4844,64000,8.3,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,>=42k,218,0.07,83,2,208130401,6,,ECO-AIR,MOE30U-60HFN1-MR0,,,no held PDF mentions this model,,,1.9,0.5767,60000,8.5,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,cm<0.60,>=42k,218,0.07,83,3,208561097,6,,RHEEM,RP16AZ48AJ3C,,,no held PDF mentions this model,,,2,0.5079,44500,8.1,,Active,No,,no,,no,,,,,,
1.8<COP<=2.0,0.60<=cm<0.80,<18k,5161,1.63,72,1,204825178,2089,,LG,LAU120HYV3,LG_ArtCoolPremier_HYV3_engmanual.pdf,4,ALREADY DIGITIZED — points in datasheet_points_v2.json; no manual search needed,LAN120HYV3,,1.85,0.7059,13600,11.2,8.3,Active,Yes,ccASHP,yes,LG,yes,Yes,Yes,R-410A,Continuously variable,,
1.8<COP<=2.0,0.60<=cm<0.80,<18k,5161,1.63,72,2,211177521,549,,TOSOT,TW12HXP2A1DO,,,no held PDF mentions this model,TW12HXP2A1DI,,1.85,0.75,12000,9,7.4,Active,Yes,ccASHP,yes,TOSOT,yes,Yes,Yes,R-410A,Continuously variable,,
